ds,y
18/2/2021,1275100
17/2/2021,991040
16/2/2021,1138560
15/2/2021,995840
14/2/2021,1493450
13/2/2021,1302140
12/2/2021,1227820
11/2/2021,1168050
10/2/2021,748720
9/2/2021,840460
8/2/2021,884840
7/2/2021,448220
6/2/2021,448517
5/2/2021,981239
4/2/2021,1076090
3/2/2021,771340
2/2/2021,976190
1/2/2021,837520
31/1/2021,328989
30/1/2021,409760
29/1/2021,978090
28/1/2021,873000
27/1/2021,759900
26/1/2021,748400
25/1/2021,798850
24/1/2021,238870
23/1/2021,311130
22/1/2021,960340
21/1/2021,939660
20/1/2021,814052
19/1/2021,923810
18/1/2021,864700
17/1/2021,268140
16/1/2021,302570
15/1/2021,659390
14/1/2021,816460
13/1/2021,832460
12/1/2021,833700
11/1/2021,778840
10/1/2021,293950
9/1/2021,160580
8/1/2021,989790
7/1/2021,841296
6/1/2021,1004210
5/1/2021,910440
4/1/2021,604010
3/1/2021,1148130
2/1/2021,728680
31/12/2020,926390
30/12/2020,1146070
29/12/2020,1201724
28/12/2020,1387244
27/12/2020,917750
26/12/2020,1144160
24/12/2020,635600
23/12/2020,1133250
22/12/2020,1193290
21/12/2020,1237210
20/12/2020,672700
19/12/2020,865173
18/12/2020,1167077
17/12/2020,1212950
16/12/2020,1157860
15/12/2020,823670
14/12/2020,934060
13/12/2020,578860
12/12/2020,894176
11/12/2020,837470
10/12/2020,886280
9/12/2020,574050
9/12/2020,894860
7/12/2020,1351960
6/12/2020,693410
6/12/2020,916417
4/12/2020,966500
3/12/2020,1036232
2/12/2020,957700
1/12/2020,964680
30/11/2020,914890
29/11/2020,809110
28/11/2020,963199
27/11/2020,868810
26/11/2020,799290
25/11/2020,710551
24/11/2020,968340
23/11/2020,814860
22/11/2020,460250
21/11/2020,839302
20/11/2020,1067482
19/11/2020,999580
18/11/2020,947220
17/11/2020,958790
16/11/2020,1018010
15/11/2020,544000
14/11/2020,1015335
13/11/2020,834580
12/11/2020,968655
11/11/2020,806860
10/11/2020,1031313
9/11/2020,1015730
8/11/2020,763350
7/11/2020,870284
6/11/2020,1096510
5/11/2020,959200
4/11/2020,728600
3/11/2020,728560
2/11/2020,732930
1/11/2020,602980
31/10/2020,751910
30/10/2020,932038
29/10/2020,775680
28/10/2020,710300
27/10/2020,654780
26/10/2020,772500
23/10/2020,875900
22/10/2020,670250
21/10/2020,666800
20/10/2020,809100
19/10/2020,661500
18/10/2020,445400
16/10/2020,938850
15/10/2020,994950
14/10/2020,626620
13/10/2020,733000
12/10/2020,807950
11/10/2020,612400
10/10/2020,843467
9/10/2020,791600
8/10/2020,946350
7/10/2020,743093
6/10/2020,833800
5/10/2020,831060
4/10/2020,565020
3/10/2020,989700
2/10/2020,952460
1/10/2020,897921
30/9/2020,888840
29/9/2020,628950
28/9/2020,677700
25/9/2020,913422
24/9/2020,929972
23/9/2020,540250
22/9/2020,824700
21/9/2020,483030
20/9/2020,537410
17/9/2020,651760
16/9/2020,658860
15/9/2020,687080
14/9/2020,593900
11/9/2020,589800
10/9/2020,633200
9/9/2020,483600
8/9/2020,835200
7/9/2020,605490
6/9/2020,765900
4/9/2020,624400
3/9/2020,411800
2/9/2020,447850
1/9/2020,213600
31/8/2020,521840
29/8/2020,226200
28/8/2020,312150
27/8/2020,441200
26/8/2020,275500
25/8/2020,459600
24/8/2020,330220
21/8/2020,314200
20/8/2020,286463
19/8/2020,269700
18/8/2020,371100
17/8/2020,281800
16/8/2020,294850
15/8/2020,250900
14/8/2020,353250
13/8/2020,314300
12/8/2020,343450
11/8/2020,353450
10/8/2020,220900
8/8/2020,271500
7/8/2020,362550
6/8/2020,219300
5/8/2020,292100
4/8/2020,302700
3/8/2020,305700
1/8/2020,201800
31/7/2020,300020
30/7/2020,222993
29/7/2020,231500
28/7/2020,228450
27/7/2020,259900
25/7/2020,136700
24/7/2020,270800
23/7/2020,182316
22/7/2020,197800
21/7/2020,179000
20/7/2020,364600
18/7/2020,170300
17/7/2020,252200
16/7/2020,216593
15/7/2020,241200
14/7/2020,203150
13/7/2020,134400
11/7/2020,151700
10/7/2020,284180
9/7/2020,178660
8/7/2020,196800
7/7/2020,237600
6/7/2020,255916
4/7/2020,125700
3/7/2020,276840
2/7/2020,211750
1/7/2020,250338
30/6/2020,242800
29/6/2020,257700
27/6/2020,89780
26/6/2020,243300
25/6/2020,277500
24/6/2020,208900
23/6/2020,249500
22/6/2020,180800
20/6/2020,260400
19/6/2020,178100
18/6/2020,282600
17/6/2020,187350
16/6/2020,213000
15/6/2020,229500
13/6/2020,144493
12/6/2020,227650
11/6/2020,204700
10/6/2020,222450
9/6/2020,299700
8/6/2020,141900
6/6/2020,185200
5/6/2020,174000
4/6/2020,99700
3/6/2020,193850
2/6/2020,270150
1/6/2020,122000
19/3/2020,221240
18/3/2020,350789
17/3/2020,498737
16/3/2020,733019
15/3/2020,401100
14/3/2020,772598
13/3/2020,1008897
12/3/2020,977100
11/3/2020,767000
10/3/2020,1028756
9/3/2020,979360
8/3/2020,488880
7/3/2020,877840
6/3/2020,1283580
5/3/2020,1487040
4/3/2020,989640
3/3/2020,1254640
2/3/2020,1391040
1/3/2020,531100
29/2/2020,911250
28/2/2020,1382720
28/2/2020,
27/2/2020,1445020
26/2/2020,1196305
25/2/2020,937560
24/2/2020,1136409
23/2/2020,609390
22/2/2020,741180
21/2/2020,1087760
20/2/2020,1201880
19/2/2020,1174300
18/2/2020,1104080
17/2/2020,862100
16/2/2020,568360
15/2/2020,707060
14/2/2020,1294380
13/2/2020,1036500
12/2/2020,1047740
11/2/2020,1249760
10/2/2020,1254720
9/2/2020,467360
8/2/2020,743220
7/2/2020,954580
6/2/2020,1014100
5/2/2020,1304520
4/2/2020,1061200
3/2/2020,1100260
2/2/2020,682960
1/2/2020,704680
31/1/2020,1210760
30/1/2020,870960
29/1/2020,1063600
28/1/2020,1215500
27/1/2020,1157800
26/1/2020,586860
26/1/2020,669320
24/1/2020,904720
23/1/2020,951700
22/1/2020,1018560
21/1/2020,989760
20/1/2020,874260
19/1/2020,621980
18/1/2020,734510
17/1/2020,1328460
16/1/2020,1031560
15/1/2020,1023200
14/1/2020,890554
13/1/2020,943500
12/1/2020,578100
11/1/2020,695530
10/1/2020,1212560
9/1/2020,1235600
8/1/2020,1050700
7/1/2020,1094060
6/1/2020,1191160
5/1/2020,647390
4/1/2020,1000330
3/1/2020,1210900
2/1/2020,1179160
31/12/2019,641960
30/12/2019,1136300
29/12/2019,805930
28/12/2019,699420
27/12/2019,817420
26/12/2019,887650
24/12/2019,583880
23/12/2019,1212940
22/12/2019,646770
22/12/2019,887800
20/12/2019,1076250
19/12/2019,1161820
18/12/2019,933560
17/12/2019,1009320
16/12/2019,898860
15/12/2019,481000
14/12/2019,741400
13/12/2019,1195510
12/12/2019,817170
11/12/2019,1098800
10/12/2019,896080
9/12/2019,1071200
8/12/2019,662200
7/12/2019,1078170
6/12/2019,1140950
5/12/2019,1082510
5/12/2019,1095830
3/12/2019,1026520
2/12/2019,956960
1/12/2019,719960
30/11/2019,695050
29/11/2019,1017780
28/11/2019,931280
27/11/2019,889300
26/11/2019,647860
25/11/2019,1007560
24/11/2019,747425
23/11/2019,755860
22/11/2019,861600
21/11/2019,484560
20/11/2019,975360
19/11/2019,861760
18/11/2019,744300
17/11/2019,817900
17/11/2019,560910
15/11/2019,759600
14/11/2019,737200
13/11/2019,481900
11/11/2019,585300
10/11/2019,519300
9/11/2019,768310
8/11/2019,508200
7/11/2019,892260
6/11/2019,1135920
5/11/2019,1001640
4/11/2019,979360
3/11/2019,846000
2/11/2019,1006640
1/11/2019,552400
31/10/2019,815700
30/10/2019,874820
29/10/2019,497260
28/10/2019,80466
27/10/2019,843030
27/10/2019,723735
25/10/2019,602140
24/10/2019,738660
24/10/2019,481560
22/10/2019,372440
18/10/2019,1143680
17/10/2019,955940
16/10/2019,1043900
15/10/2019,1103860
14/10/2019,926680
13/10/2019,859220
12/10/2019,1036320
11/10/2019,1252300
10/10/2019,1077960
9/10/2019,858900
8/10/2019,897700
7/10/2019,836280
6/10/2019,492900
4/10/2019,1258500
3/10/2019,1192560
2/10/2019,1029440
1/10/2019,1124740
30/9/2019,1186860
28/9/2019,874360
27/9/2019,1296197
26/9/2019,1057760
25/9/2019,1039160
24/9/2019,951020
23/9/2019,1080260
22/9/2019,587160
21/9/2019,813100
20/9/2019,693160
19/9/2019,617100
17/9/2019,1158620
16/9/2019,1119900
15/9/2019,674400
14/9/2019,757360
13/9/2019,1115840
12/9/2019,1112700
11/9/2019,1030460
10/9/2019,961215
9/9/2019,1013680
8/9/2019,625980
7/9/2019,895300
6/9/2019,1256620
5/9/2019,1084540
4/9/2019,1143340
3/9/2019,1138960
2/9/2019,1098980
1/9/2019,777700
31/8/2019,920660
30/8/2019,1402390
29/8/2019,1024660
28/8/2019,1004300
27/8/2019,855220
26/8/2019,889200
25/8/2019,657200
24/8/2019,993734
23/8/2019,954540
22/8/2019,1067480
21/8/2019,1100880
20/8/2019,988780
19/8/2019,990660
18/8/2019,564460
17/8/2019,795680
16/8/2019,1199260
15/8/2019,596980
14/8/2019,1118932
13/8/2019,1082280
12/8/2019,1018880
11/8/2019,866600
10/8/2019,880800
9/8/2019,1147780
8/8/2019,1077600
7/8/2019,1192140
6/8/2019,926900
5/8/2019,1106960
4/8/2019,709660
3/8/2019,939600
2/8/2019,1390620
1/8/2019,1256060
31/7/2019,1058360
30/7/2019,961980
29/7/2019,956654
28/7/2019,813464
27/7/2019,882260
26/7/2019,1224260
25/7/2019,1260160
24/7/2019,1173760
23/7/2019,1254360
22/7/2019,1151440
21/7/2019,584360
20/7/2019,935200
19/7/2019,1386850
18/7/2019,1182460
17/7/2019,1014620
16/7/2019,763350
15/7/2019,1346760
14/7/2019,862100
13/7/2019,721800
12/7/2019,1243200
11/7/2019,1297450
10/7/2019,1192320
9/7/2019,1100780
8/7/2019,953345
7/7/2019,595100
6/7/2019,814204
5/7/2019,1114260
4/7/2019,925840
3/7/2019,791420
2/7/2019,1072200
1/7/2019,1047100
30/6/2019,880900
29/6/2019,822962
28/6/2019,879180
27/6/2019,938300
26/6/2019,1153960
25/6/2019,1043080
24/6/2019,668300
23/6/2019,720200
22/6/2019,979723
21/6/2019,916340
20/6/2019,825280
19/6/2019,904920
18/6/2019,945660
17/6/2019,802400
16/6/2019,625400
15/6/2019,708750
14/6/2019,870820
13/6/2019,822770
12/6/2019,845500
11/6/2019,984930
10/6/2019,914080
9/6/2019,688500
8/6/2019,788360
7/6/2019,1177980
6/6/2019,1025400
5/6/2019,1006880
4/6/2019,1193420
3/6/2019,1083540
2/6/2019,529500
1/6/2019,1078760
31/5/2019,1254020
30/5/2019,1015800
29/5/2019,897620
28/5/2019,854960
27/5/2019,1057500
26/5/2019,570500
25/5/2019,822800
24/5/2019,1227800
23/5/2019,1135020
22/5/2019,760872
21/5/2019,822040
20/5/2019,1358260
19/5/2019,755100
18/5/2019,737200
17/5/2019,1202675
16/5/2019,908999
15/5/2019,995940
14/5/2019,984620
13/5/2019,1064280
12/5/2019,940460
11/5/2019,1142060
10/5/2019,1389840
9/5/2019,1255200
8/5/2019,1216460
7/5/2019,985565
6/5/2019,1097039
5/5/2019,484820
4/5/2019,893980
3/5/2019,1227010
2/5/2019,1269120
30/4/2019,1222120
29/4/2019,1311320
28/4/2019,642010
27/4/2019,944460
26/4/2019,1234969
25/4/2019,905400
24/4/2019,1006220
23/4/2019,1033640
22/4/2019,911980
21/4/2019,466700
20/4/2019,633260
19/4/2019,689220
18/4/2019,1325460
17/4/2019,982242
16/4/2019,872360
15/4/2019,917500
14/4/2019,582500
13/4/2019,789400
12/4/2019,1118860
11/4/2019,1238000
10/4/2019,935400
9/4/2019,1124460
8/4/2019,859380
7/4/2019,648100
6/4/2019,715100
5/4/2019,1127580
4/4/2019,929900
3/4/2019,1048860
2/4/2019,1149680
1/4/2019,1035400
31/3/2019,475800
30/3/2019,982040
29/3/2019,1173600
28/3/2019,1053470
27/3/2019,934760
26/3/2019,1005180
25/3/2019,873080
24/3/2019,753360
23/3/2019,751460
22/3/2019,1205080
21/3/2019,1063160
20/3/2019,991040
19/3/2019,925235
18/3/2019,964757
17/3/2019,465300
16/3/2019,817400
15/3/2019,975000
14/3/2019,1054960
13/3/2019,913750
12/3/2019,954160
11/3/2019,1007524
10/3/2019,581200
9/3/2019,694960
8/3/2019,1338675
7/3/2019,912100
6/3/2019,1052500
5/3/2019,1305180
4/3/2019,1209580
3/3/2019,681980
2/3/2019,962680
1/3/2019,1080740
28/2/2019,1247600
27/2/2019,1145111
26/2/2019,1082380
25/2/2019,968040
24/2/2019,298280
23/2/2019,468380
22/2/2019,1023760
21/2/2019,913700
20/2/2019,1244900
19/2/2019,1023802
18/2/2019,921494
17/2/2019,374200
16/2/2019,533300
15/2/2019,985900
14/2/2019,1390040
13/2/2019,898680
12/2/2019,1174480
11/2/2019,853300
10/2/2019,405100
9/2/2019,634000
8/2/2019,1020960
7/2/2019,987680
6/2/2019,1186100
5/2/2019,963800
4/2/2019,1129400
3/2/2019,517300
2/2/2019,817180
1/2/2019,1075800
31/1/2019,1050400
30/1/2019,909180
29/1/2019,973480
28/1/2019,921900
27/1/2019,510280
26/1/2019,600000
25/1/2019,813800
24/1/2019,921700
23/1/2019,897100
22/1/2019,1167780
21/1/2019,1030380
20/1/2019,347380
19/1/2019,822600
18/1/2019,957500
17/1/2019,888700
16/1/2019,990180
15/1/2019,1022800
14/1/2019,1040280
13/1/2019,349900
12/1/2019,690780
11/1/2019,990980
10/1/2019,972200
9/1/2019,1051700
8/1/2019,939380
7/1/2019,1113500
6/1/2019,535260
5/1/2019,765340
4/1/2019,964700
3/1/2019,1112080
2/1/2019,999600
